Date,Open,High,Low,Close,Volume,UpAndDown
108/04/24,13.5,13.6,13.15,13.2,"3,347",-0.25
108/04/25,13.2,13.45,13.2,13.4,"2,483",0.2
108/04/26,13.35,13.35,13.15,13.3,"1,755",-0.1
108/04/29,13.35,13.45,13.25,13.4,"2,161",0.1
108/04/30,13.5,13.6,13.4,13.55,"2,977",0.15
108/05/02,13.6,13.75,13.55,13.75,"4,181",0.2
108/05/03,13.75,13.8,13.55,13.7,"3,192",-0.05
108/05/06,13.35,13.35,12.9,13.05,"6,621",-0.65
108/05/07,13.15,13.2,13,13,"3,587",-0.05
108/05/08,12.75,13.05,12.6,12.95,"4,256",-0.05
108/05/09,12.85,12.9,12.55,12.6,"4,145",-0.35
108/05/10,12.55,12.75,12.4,12.5,"3,669",-0.1
108/05/13,12.5,12.7,12.5,12.6,"1,835",0.1
108/05/14,12.45,12.45,12.2,12.35,"3,676",-0.25
108/05/15,12.4,12.5,12.35,12.4,"1,867",0.05
108/05/16,12.4,12.4,12.15,12.3,"2,065",-0.1
108/05/17,12.4,12.4,12.05,12.05,"2,268",-0.25
108/05/20,12.1,12.2,12.05,12.05,"1,533",0
108/05/21,12.05,12.35,12,12.25,"2,371",0.2
108/05/22,12.25,12.3,12.05,12.1,"1,690",-0.15
108/05/23,12.1,12.1,11.85,11.95,"1,856",-0.15
108/05/24,12,12.2,12,12.1,"1,718",0.15
108/05/27,12.15,12.15,12,12.05,"1,387",-0.05
108/05/28,12.05,12.05,11.9,11.9,"2,088",-0.15
108/05/29,11.9,12,11.85,11.9,"1,325",0
108/05/30,11.9,12.05,11.8,11.9,"1,964",0
108/05/31,11.95,12.1,11.9,12.1,"1,523",0.2
108/06/03,12.05,12.05,11.9,11.95,"1,886",-0.15
108/06/04,11.95,12,11.85,12,"1,675",0.05
108/06/05,12.05,12.1,11.9,12,"1,629",0
108/06/06,11.95,12,11.9,11.95,"1,187",-0.05
108/06/10,12.05,12.1,11.9,12.05,"1,383",0.1
108/06/11,12.1,12.1,11.95,12.05,"1,093",0
108/06/12,12.05,12.1,12,12.05,"1,106",0
108/06/13,12.1,12.15,12,12.1,"1,051",0.05
108/06/14,12.05,12.1,12,12.05,"1,293",-0.05
108/06/17,12.05,12.1,11.95,11.95,"1,322",-0.1
108/06/18,12,12.05,11.95,12,"1,240",0.05
108/06/19,12.05,12.15,12.05,12.15,"2,995",0.15
108/06/20,12.2,12.5,12.2,12.5,"4,627",0.35
108/06/21,12.55,12.6,12.4,12.45,"2,961",-0.05
108/06/24,12.45,12.6,12.35,12.5,"2,681",0.05
108/06/25,12.55,12.55,12.45,12.5,"1,976",0
108/06/26,12.5,12.7,12.5,12.6,"2,703",0.1
108/06/27,12.65,12.8,12.6,12.65,"2,576",0.05
108/06/28,12.65,12.65,12.45,12.45,"1,653",-0.2
108/07/01,12.7,13.1,12.7,13.1,"4,975",0.65
108/07/02,13.25,13.4,13.15,13.3,"4,744",0.2
108/07/03,13.3,13.45,13.3,13.4,"4,440",0.1
108/07/04,13.5,13.6,13.4,13.5,"2,975",0.1
108/07/05,13.55,13.6,13.3,13.55,"2,843",0.05
108/07/08,13.5,13.55,13.15,13.3,"3,237",-0.25
108/07/09,13.3,13.4,13.2,13.4,"1,706",0.1
108/07/10,13.45,13.6,13.4,13.45,"2,179",0.05
108/07/11,13.55,13.55,13.35,13.4,"2,262",-0.05
108/07/12,13.4,13.4,13.2,13.25,"1,541",-0.15
108/07/15,13.25,13.4,13.05,13.35,"1,930",0.1
108/07/16,13.35,13.5,13.35,13.45,"1,533",0.1
108/07/17,13.45,13.45,13.25,13.35,"2,094",-0.1
108/07/18,13.4,13.6,13.4,13.5,"2,647",0.15
108/07/19,13.55,13.7,13.5,13.65,"3,280",0.15
108/07/22,13.7,14.25,13.65,14.15,"7,500",0.5
108/07/23,14.2,14.2,13.9,14,"3,300",-0.15
108/07/24,13.9,13.9,13.7,13.75,"3,051",-0.25
108/07/25,13.75,14.25,13.65,14.1,"5,133",0.35
108/07/26,14,14.1,13.9,14,"2,403",-0.1
108/07/29,13.95,14.25,13.95,14.2,"4,737",0.2
108/07/30,14.3,14.7,14.2,14.25,"6,174",0.05
108/07/31,14.3,14.45,14.2,14.4,"5,230",0.15
108/08/01,14.15,14.3,14.05,14.1,"3,156",-0.3
108/08/02,13.75,13.75,13.35,13.4,"6,149",-0.7
108/08/05,13.3,13.5,13.25,13.4,"2,681",0
108/08/06,12.9,13.3,12.9,13.25,"3,313",-0.15
108/08/07,13.2,13.45,13.1,13.35,"2,569",0.1
108/08/08,13.3,13.4,13.25,13.35,"1,815",0
108/08/12,13.3,13.45,13.2,13.35,"2,144",0
108/08/13,13.3,13.35,13.1,13.1,"2,266",-0.25
108/08/14,13.15,13.3,12.7,12.9,"4,456",-0.2
108/08/15,12.6,12.85,12.55,12.65,"2,762",-0.25
108/08/16,12.65,12.65,12.4,12.65,"3,869",0
108/08/19,12.6,12.6,12.45,12.45,"2,629",-0.2
108/08/20,12.45,12.6,12.45,12.5,"1,712",0.05
108/08/21,12.45,12.6,12.45,12.5,"2,097",0
108/08/22,12.5,12.8,12.5,12.7,"2,787",0.2
108/08/23,12.75,12.9,12.75,12.9,"1,743",0.2
108/08/26,12.6,12.65,12.5,12.55,"3,218",-0.35
108/08/27,12.65,12.7,12.55,12.65,"1,230",0.1
108/08/28,12.6,12.8,12.6,12.75,"1,373",0.1
108/08/29,12.75,12.8,12.6,12.65,"1,390",-0.1
108/08/30,12.75,12.85,12.65,12.85,"1,610",0.2
108/09/02,12.9,12.95,12.8,12.85,"1,456",0
108/09/03,12.85,13,12.8,12.85,"1,581",0
108/09/04,12.85,13,12.75,12.9,"1,786",0.05
108/09/05,12.95,13.05,12.9,13.05,"1,945",0.15
108/09/06,13.05,13.2,12.9,13.15,"2,588",0.1
108/09/09,13.15,13.2,13.1,13.2,"1,509",0.05
108/09/10,13.25,13.3,13.05,13.15,"2,330",-0.05
108/09/11,13.2,13.2,13,13.1,"2,513",-0.05
108/09/12,13.2,13.35,13.15,13.3,"2,969",0.2
108/09/16,13.25,13.25,13,13,"3,148",-0.3
108/09/17,12.9,13.1,12.9,13.05,"1,258",0.05
108/09/18,13.05,13.25,13.05,13.1,"4,023",0.05
108/09/19,13.15,13.2,13.05,13.1,"1,343",0
108/09/20,13.1,13.2,13.05,13.1,"1,221",0
108/09/23,13.1,13.2,13.1,13.15,916,0.05
108/09/24,13.15,13.2,13,13.05,"1,337",-0.1
108/09/25,13.1,13.2,13.05,13.15,"1,147",0.1
108/09/26,13.2,13.2,13.05,13.1,"1,478",-0.05
108/09/27,13.1,13.15,13,13,"1,868",-0.1
108/10/01,13.1,13.3,13.05,13.25,"1,962",0.25
108/10/02,13.05,13.1,12.95,13.05,"2,582",-0.2
108/10/03,12.85,12.9,12.65,12.7,"2,695",-0.35
108/10/04,12.75,12.85,12.7,12.75,"1,194",0.05
108/10/07,12.75,12.85,12.75,12.75,798,0
108/10/08,12.75,12.9,12.7,12.7,"1,367",-0.05
108/10/09,12.65,12.75,12.6,12.7,"1,894",0
108/10/14,12.85,12.95,12.8,12.9,"2,489",0.2
108/10/15,12.9,12.95,12.8,12.85,"1,415",-0.05
108/10/16,12.9,13.1,12.85,13,"3,441",0.15
108/10/17,13,13.1,12.95,13.1,"1,104",0.1
108/10/18,13.1,13.25,13,13.15,"1,746",0.05
108/10/21,13.2,13.25,13.1,13.25,"1,644",0.1
108/10/22,13.25,13.4,13.15,13.4,"3,632",0.15
108/10/23,13.4,13.4,13.15,13.2,"2,572",-0.2
108/10/24,13.2,13.2,13.05,13.1,"2,519",-0.1
108/10/25,13.1,13.5,13.1,13.2,"3,237",0.1
108/10/28,13.2,13.25,13,13.05,"2,287",-0.15
108/10/29,13.15,13.15,12.65,12.7,"4,446",-0.35
108/10/30,12.7,12.75,12.4,12.6,"5,917",-0.1
108/10/31,12.65,12.65,12.45,12.5,"2,584",-0.1
108/11/01,12.5,12.6,12.45,12.5,"1,912",0
108/11/04,12.6,12.85,12.6,12.8,"2,756",0.3
108/11/05,12.45,12.7,12.35,12.65,"4,819",-0.15
108/11/06,12.55,12.85,12.55,12.8,"2,677",0.15
108/11/07,12.7,12.85,12.65,12.65,"1,530",-0.15
108/11/08,12.7,12.8,12.65,12.75,896,0.1
108/11/11,12.75,12.85,12.55,12.7,"1,580",-0.05
108/11/12,12.8,12.8,12.55,12.65,"1,925",-0.05
108/11/13,12.6,12.65,12.5,12.6,"1,174",-0.05
108/11/14,12.6,12.6,12.3,12.35,"2,200",-0.25
108/11/15,12.4,12.5,12.4,12.45,"1,311",0.1
108/11/18,12.45,12.5,12.35,12.5,"1,186",0.05
108/11/19,12.5,12.55,12.35,12.5,"1,763",0
108/11/20,12.4,12.9,12.3,12.85,"12,867",0.35
108/11/21,12.7,12.7,12.5,12.55,"1,840",-0.3
108/11/22,12.55,12.6,12.4,12.4,"2,089",-0.15
108/11/25,12.45,12.5,12.3,12.35,"1,931",-0.05
108/11/26,12.4,12.5,12.4,12.5,"1,927",0.15
108/11/27,12.45,12.65,12.4,12.55,"2,797",0.05
108/11/28,12.55,12.65,12.5,12.55,"2,213",0
108/11/29,12.6,12.65,12.4,12.4,"1,696",-0.15
108/12/02,12.45,12.45,12.3,12.3,"3,494",-0.1
108/12/03,12.3,12.45,12.3,12.45,"1,760",0.15
108/12/04,12.45,12.5,12.3,12.35,"2,097",-0.1
108/12/05,12.35,12.4,12.25,12.35,"6,590",0
108/12/06,12.35,12.35,12.25,12.25,"5,518",-0.1
108/12/09,12.3,12.35,12.2,12.2,"3,781",-0.05
108/12/10,12.2,12.35,12.2,12.25,"2,384",0.05
108/12/11,12.25,12.3,12.2,12.2,"2,425",-0.05
108/12/12,12.25,12.3,12.2,12.25,"2,995",0.05
108/12/13,12.3,12.45,12.25,12.4,"4,153",0.15
108/12/16,12.4,12.5,12.3,12.45,"2,467",0.05
108/12/17,12.45,12.5,12.4,12.5,"2,069",0.05
108/12/18,12.5,12.7,12.35,12.65,"10,526",0.15
108/12/19,12.65,12.65,12.5,12.5,"1,803",-0.15
108/12/20,12.5,12.55,12.4,12.4,"2,311",-0.1
108/12/23,12.45,12.6,12.45,12.55,"1,766",0.15
108/12/24,12.55,12.6,12.45,12.5,"1,089",-0.05
108/12/25,12.5,12.55,12.45,12.55,"1,308",0.05
108/12/26,12.55,12.55,12.45,12.5,"1,039",-0.05
108/12/27,12.55,12.6,12.45,12.5,"1,414",0
108/12/30,12.6,12.65,12.45,12.5,"1,952",0
108/12/31,12.5,12.5,12.4,12.4,"1,606",-0.1
109/01/02,12.6,12.8,12.6,12.7,"3,209",0.3
109/01/03,12.8,13.05,12.75,13,"7,277",0.3
109/01/06,13,13.2,12.9,13,"4,498",0
109/01/07,13,13.05,12.85,12.9,"3,741",-0.1
109/01/08,12.75,12.75,12.6,12.6,"3,047",-0.3
109/01/09,12.75,12.95,12.7,12.85,"3,527",0.25
109/01/10,12.9,13.2,12.9,13.15,"7,118",0.3
109/01/13,13.15,13.2,13.05,13.15,"2,562",0
109/01/14,13.15,13.35,13.15,13.2,"3,420",0.05
109/01/15,13.2,13.3,13,13.15,"3,121",-0.05
109/01/16,13.15,13.15,13,13,"1,740",-0.15
109/01/17,13.1,13.1,12.9,13,"1,623",0
109/01/20,13,13.15,12.9,12.95,"2,858",-0.05
109/01/30,12.4,12.4,11.7,11.8,"7,091",-1.15
109/01/31,11.8,11.95,11.6,11.75,"4,207",-0.05
109/02/03,11.3,11.55,11.1,11.45,"3,642",-0.3
109/02/04,11.4,11.65,11.35,11.6,"3,027",0.15
109/02/05,11.65,11.85,11.6,11.7,"2,527",0.1
109/02/06,11.75,11.95,11.75,11.95,"2,314",0.25
109/02/07,11.8,11.85,11.65,11.65,"2,550",-0.3
109/02/10,11.5,11.6,11.35,11.5,"1,790",-0.15
